id,type,category,name,amenity,shop,leisure,highway,railway,public_transport,addr_street,addr_housenumber,addr_city,phone,website,opening_hours,lat,lon
354049578,node,amenities,All Saints School,school,,,,,,,,,,,,41.6978074,-87.6223788
354050124,node,amenities,Ascension School,school,,,,,,,,,,,,41.6119586,-87.6538139
354050175,node,amenities,Arrowhead School,school,,,,,,,,,,,,41.6580887,-87.7828298
354051297,node,amenities,Bell School,school,,,,,,,,,,,,41.2783218,-88.0299114
354099405,node,amenities,Chicago Ridge School,school,,,,,,,,,,,,41.7019772,-87.7781085
354099737,node,amenities,Central School,school,,,,,,,,,,,,41.5894753,-88.0553369
354102186,node,amenities,Doctor School,school,,,,,,,,,,,,41.6000322,-87.8950542
354106216,node,amenities,Glenwood School,school,,,,,,,,,,,,41.546982,-87.6293467
354106333,node,amenities,Goose Lake School,school,,,,,,,,,,,,41.3466981,-88.258396
354107836,node,amenities,Hill School,school,,,,,,,,,,,,41.5583643,-88.0592252
354107942,node,amenities,Holy Cross School,school,,,,,,,,,,,,41.5394753,-88.088948
354108250,node,amenities,Nathan Hale Primary School,school,,,,,,West 135th Street,5220,Crestwood,,,,41.6478112,-87.7517175
354110308,node,amenities,Holy Family School,school,,,,,,,,,,,,41.545864,-88.1261716
354110357,node,amenities,Holy Rosary School,school,,,,,,,,,,,,41.6883807,-87.613601
354111976,node,amenities,Katz Corner School,school,,,,,,,,,,,,41.4861464,-87.5392072
354119569,node,amenities,Lorimer School,school,,,,,,,,,,,,41.6256483,-87.5866419
354124477,node,amenities,Oster-Oakview Intermediate School,school,,,,,,North Cedar Road,809,New Lenox,,,,41.5197539,-87.9675545
354125260,node,amenities,North Ridge School,school,,,,,,,,,,,,41.4519757,-88.0403334
354126401,node,amenities,Mount Assisi Academy,school,,,,,,,,,,,,41.6822535,-87.9589472
354127139,node,amenities,Old Lincoln School,school,,,,,,,,,,,,41.5736457,-87.6489346
354128001,node,amenities,Our Lady School,school,,,,,,,,,,,,41.7155905,-87.5669904
354128326,node,amenities,Kwame Nkrumah Academy,school,,,,,,,,,,http://www.kwamenkrumahacademy.org/,,41.6982183,-87.6311792
354128921,node,amenities,Palos Evangelical Lutheran School,school,,,,,,,,,,,,41.6648005,-87.7957852
354129230,node,amenities,Saint Agnes School,school,,,,,,,,,,,,41.5040021,-87.639989
354129249,node,amenities,Saint Ailbe School,school,,,,,,,,,,,,41.7301107,-87.5864692
354129272,node,amenities,Saint Anne School,school,,,,,,,,,,,,41.4965528,-87.640128
354129279,node,amenities,Saint Anne School,school,,,,,,,,,,,,41.5552164,-88.1105832
354130163,node,amenities,Saint Ann's School,school,,,,,,,,,,,,41.565016,-87.5439656
354135407,node,amenities,Saint Johns School,school,,,,,,,,,,,,41.5564231,-87.7189365
354135605,node,amenities,CICS Prairie School,school,,,,,,,,,,,,41.6844788,-87.6169915
354135712,node,amenities,Saint Irenaeus School,school,,,,,,,,,,,,41.4795711,-87.6813447
354135871,node,amenities,Saint Joachims School,school,,,,,,,,,,,,41.7300239,-87.6066475
354136380,node,amenities,Saint Gerard-Majella School,school,,,,,,,,,,,,41.596366,-87.7038462
354136851,node,amenities,Saint Bernard School,school,,,,,,,,,,,,41.5325311,-88.0511687
354136882,node,amenities,Saint Bronislava School,school,,,,,,,,,,,,41.7369885,-87.5614991
354137200,node,amenities,Saint Ethelreda School,school,,,,,,,,,,,,41.7345887,-87.6658833
354139872,node,amenities,Sauk Trail School,school,,,,,,,,,,,,41.4853128,-87.6061536
354142170,node,amenities,Schrage School,school,,,,,,,,,,,,41.4450346,-87.6611543
354143775,node,amenities,Salem School,school,,,,,,,,,,,,41.5562302,-87.6557655
354144081,node,amenities,Saint Susanna School,school,,,,,,,,,,,,41.6180257,-87.6627809
354144216,node,amenities,Saint Salomeas School,school,,,,,,,,,,,,41.6793714,-87.6183492
354144270,node,amenities,Saint Rose School,school,,,,,,,,,,,,41.3036427,-88.1422796
354144360,node,amenities,Saint Raymonds School,school,,,,,,,,,,,,41.5346802,-88.100518
354145257,node,amenities,Saint Patrick School,school,,,,,,,,,,,,41.5205865,-88.0995034
354145471,node,amenities,Saint Nicholas School,school,,,,,,,,,,,,41.6878122,-87.6239363
354145747,node,amenities,Saint Marys Seminary,school,,,,,,,,,,,,41.6800312,-87.9667252
354145955,node,amenities,Saint Mary's School,school,,,,,,,,,,,,41.5973749,-88.1994055
354146543,node,amenities,Saint Margaret School,school,,,,,,,,,,,,41.7151089,-87.6539873
354146652,node,amenities,Saint Lawrence-O'Toole School,school,,,,,,,,,,,,41.5025346,-87.7156018
354146703,node,amenities,Saint Louis School,school,,,,,,,,,,,,41.6814493,-87.6223027
354146885,node,amenities,Saint Jude School,school,,,,,,,,,,,,41.5144752,-88.1353379
354146896,node,amenities,Saint Jude School,school,,,,,,,,,,,,41.5095562,-87.9713025
354146952,node,amenities,Saint Kieran School,school,,,,,,,,,,,,41.5355588,-87.6323921
354146999,node,amenities,Saint Josephs School,school,,,,,,,,,,,,41.5046805,-87.6243675
354147086,node,amenities,Saint Joseph School,school,,,,,,,,,,,,41.7351571,-87.5589387
354147736,node,amenities,Thorn Grove School,school,,,,,,,,,,,,41.4464233,-87.7022666
354151130,node,amenities,Tolentine College,school,,,,,,,,,,,,41.5192012,-87.7075464
354151840,node,amenities,Trinity School,school,,,,,,,,,,,,41.5653953,-87.5562392
354151867,node,amenities,Trinity School,school,,,,,,,,,,,,41.5279118,-88.0044371
354153191,node,amenities,Zion School,school,,,,,,,,,,,,41.4358436,-87.6324074
354157485,node,amenities,Ziebell School,school,,,,,,,,,,,,41.6197273,-87.6807821
354159845,node,amenities,Saint Mary's School,school,,,,,,,,,,,,41.4621144,-87.6965655
354159857,node,amenities,Balmoral Elementary School,school,,,,,,West New Monee Road,1124,Crete,,,,41.4210593,-87.6398226
354159893,node,amenities,Cornerstone Christian School,school,,,,,,,,,,,,41.4853528,-87.6375875
354159903,node,amenities,Crete-Monee Middle School,school,,,,,,,,,,,,41.4394791,-87.6344867
354160027,node,amenities,Saint Liborius School,school,,,,,,,,,,,,41.4682765,-87.6392539
354160184,node,amenities,Zion Lutheran School,school,,,,,,,,,,,,41.4978122,-87.7105609
354160450,node,amenities,Frankfort School,school,,,,,,,,,,,,41.4964221,-87.8511614
354161414,node,amenities,Lincoln School,school,,,,,,,,,,,,41.6406837,-87.706781
354163016,node,amenities,Laren School,school,,,,,,,,,,,,41.5968588,-87.606494
354163030,node,amenities,Sandridge School,school,,,,,,,,,,,,41.618368,-87.6150456
